Nation,Player,player_positions,Final_Overall,pace,shooting,passing,dribbling,defending,physic,Attack_Score,Midfield_Score,Defense_Score,Technical_Score,Athletic_Score,Overall_Percentile,Elite_Player,World_Class,Position_Group,Is_GK,Is_DEF,Is_MID,Is_ATT,Star_Player,Key_Player,Squad_Rank,Defender_Rating,Midfielder_Rating,Attacker_Rating,Importance_Score
Algeria,Oussama Benbot,"LW,CAM",70,76,62,65,70,32,60,68.6,65.0,43.2,67.5,68.0,0.28205128205128205,0,0,MID,0,0,1,0,0,0,19.0,44.2,65.0,68.6,560.0
Algeria,Mohamed-Amine Tougai,CB,69,68,40,58,55,70,74,52.9,61.900000000000006,71.6,56.5,71.0,0.22956730769230768,0,0,DEF,0,1,0,0,0,0,20.0,68.4,61.900000000000006,52.9,483.0
Algeria,Adil Boulbina,"CDM,CM",69,65,45,64,60,68,70,55.5,64.6,68.8,62.0,67.5,0.22956730769230768,0,0,MID,0,0,1,0,0,0,21.0,67.6,64.6,55.5,414.0
Algeria,Jaouen Hadjam,"LB, LM",69,79,54,59,69,65,72,66.0,65.89999999999999,67.8,64.0,75.5,0.22956730769230768,0,0,DEF,0,1,0,0,0,0,22.0,65.2,65.89999999999999,66.0,345.0
Algeria,Samir Chergui,"CM,CDM",68,64,46,63,60,67,69,55.60000000000001,63.900000000000006,67.8,61.5,66.5,0.18028846153846154,0,0,MID,0,0,1,0,0,0,23.0,66.6,63.900000000000006,55.6,272.0
Algeria,Yassine Titraoui,"LW, CAM",68,76,66,64,74,30,62,71.4,66.39999999999999,42.8,69.0,69.0,0.18028846153846154,0,0,MID,0,0,1,0,0,0,24.0,43.2,66.39999999999999,71.4,204.0
Algeria,Rafik Belghali,"RB, CB, RM",66,81,60,61,66,61,62,68.1,62.8,61.400000000000006,63.5,71.5,0.08854166666666667,0,0,DEF,0,1,0,0,0,0,25.0,61.2,62.8,68.1,132.0
Algeria,Luca Zidane,GK,65,44,10,40,40,12,62,29.2,46.599999999999994,32.0,40.0,53.0,0.05448717948717949,0,0,GK,1,0,0,0,0,0,26.0,27.6,46.599999999999994,29.2,65.0
Argentina,Lautaro Javier Martínez,ST,88,81,88,75,84,51,83,84.7,80.1,63.8,79.5,82.0,0.9819711538461539,1,0,ATT,0,0,0,1,1,1,1.0,62.2,80.1,84.7,2288.0
Argentina,Julián Álvarez,ST,87,85,87,81,87,57,79,86.4,82.2,65.8,84.0,82.0,0.9743589743589743,1,0,ATT,0,0,0,1,0,1,2.0,66.2,82.2,86.4,2175.0
Argentina,Alexis Mac Allister,"CM, CDM",87,66,82,85,85,78,76,78.10000000000001,82.3,77.2,85.0,71.0,0.9743589743589743,1,0,MID,0,0,1,0,0,1,3.0,79.0,82.3,78.10000000000001,2088.0
Argentina,Lionel Andrés Messi Cuccittini,"RW, CAM",86,72,92,92,96,34,66,87.19999999999999,85.39999999999999,46.8,94.0,69.0,0.9639423076923077,1,0,MID,0,0,1,0,0,1,4.0,52.0,85.39999999999999,87.2,1978.0
Argentina,Emiliano Martínez,GK,85,56,13,50,52,13,76,37.6,58.400000000000006,38.2,51.0,66.0,0.9507211538461539,1,0,GK,1,0,0,0,0,1,5.0,33.0,58.400000000000006,37.6,1870.0
Argentina,Rodrigo De Paul,"CM, CDM",84,78,70,78,78,70,78,74.8,78.0,73.2,78.0,78.0,0.9314903846153846,0,0,MID,0,0,1,0,0,0,6.0,73.2,78.0,74.8,1764.0
Argentina,Enzo Fernández,"CM, CDM",84,76,66,80,80,72,76,73.2,78.8,73.6,80.0,76.0,0.9314903846153846,0,0,MID,0,0,1,0,0,0,7.0,74.4,78.8,73.2,1680.0
Argentina,Exequiel Palacios,"CM, CDM",84,72,60,70,70,68,72,66.6,70.6,69.6,70.0,72.0,0.9314903846153846,0,0,MID,0,0,1,0,0,0,8.0,69.19999999999999,70.6,66.6,1596.0
Argentina,Gerónimo Rulli,GK,82,54,12,48,50,12,72,36.0,55.8,36.0,49.0,63.0,0.8854166666666666,0,0,GK,1,0,0,0,0,0,9.0,31.200000000000003,55.8,36.0,1476.0
Argentina,Giovani Lo Celso,"CAM, CM, CDM",82,68,81,82,84,68,71,78.0,79.3,69.2,83.0,69.5,0.8854166666666666,0,0,MID,0,0,1,0,0,0,10.0,71.4,79.3,78.0,1394.0
Argentina,Nicolás Otamendi,CB,82,62,40,58,58,84,82,52.0,65.2,83.2,58.0,72.0,0.8854166666666666,0,0,DEF,0,1,0,0,0,0,11.0,78.4,65.2,51.99999999999999,1312.0
Argentina,Cristian Gabriel Romero,CB,82,66,48,62,65,83,81,58.5,68.6,82.19999999999999,63.5,73.5,0.8854166666666666,0,0,DEF,0,1,0,0,0,0,12.0,78.4,68.6,58.5,1230.0
Argentina,Leonardo Balerdi,CB,81,72,38,54,56,78,76,53.599999999999994,61.2,77.2,55.0,74.0,0.8553685897435898,0,0,DEF,0,1,0,0,0,0,13.0,72.8,61.2,53.599999999999994,1134.0
Argentina,Nicolás González,"LW, RW",81,82,79,75,81,53,78,80.5,77.69999999999999,63.0,78.0,80.0,0.8553685897435898,0,0,ATT,0,0,0,1,0,0,14.0,62.4,77.69999999999999,80.5,1053.0
Argentina,Lisandro Martínez,CB,81,67,59,75,75,81,80,66.2,76.5,80.6,75.0,73.5,0.8553685897435898,0,0,DEF,0,1,0,0,0,0,15.0,79.6,76.5,66.2,972.0
Argentina,Giuliano Simeone,"RW, LW",81,84,70,64,78,30,68,76.6,69.4,45.2,71.0,76.0,0.8553685897435898,0,0,ATT,0,0,0,1,0,0,16.0,44.400000000000006,69.4,76.6,891.0
Argentina,Thiago Almada,"CAM, CM",79,76,66,72,78,44,66,72.6,72.0,52.8,75.0,71.0,0.7772435897435898,0,0,MID,0,0,1,0,0,0,17.0,54.0,72.0,72.6,790.0
Argentina,Nahuel Molina,"RB, RM",79,82,60,68,72,72,72,70.19999999999999,70.39999999999999,72.0,70.0,77.0,0.7772435897435898,0,0,DEF,0,1,0,0,0,0,18.0,71.19999999999999,70.39999999999999,70.19999999999999,711.0
Argentina,Juan Musso,GK,79,54,12,48,50,12,74,36.0,56.400000000000006,36.8,49.0,64.0,0.7772435897435898,0,0,GK,1,0,0,0,0,0,19.0,31.6,56.400000000000006,36.0,632.0
Argentina,Facundo Medina,CB,79,70,38,54,56,78,78,53.0,61.800000000000004,78.0,55.0,74.0,0.7772435897435898,0,0,DEF,0,1,0,0,0,0,20.0,73.2,61.800000000000004,53.0,553.0
Argentina,Nicolás Tagliafico,LB,78,74,52,68,70,74,70,64.0,69.2,72.4,69.0,72.0,0.7323717948717948,0,0,DEF,0,1,0,0,0,0,21.0,72.0,69.2,64.0,468.0
Argentina,Leandro Paredes,"CDM, CM",78,60,56,78,72,70,72,62.0,74.39999999999999,70.8,75.0,66.0,0.7323717948717948,0,0,MID,0,0,1,0,0,0,22.0,72.0,74.39999999999999,62.0,390.0
Argentina,Gonzalo Montiel,"RB, CB",78,74,52,64,66,72,72,62.8,67.0,72.0,65.0,73.0,0.7323717948717948,0,0,DEF,0,1,0,0,0,0,23.0,70.39999999999999,67.0,62.8,312.0
Argentina,Nicolás Paz,"CM, CAM",77,73,71,78,81,58,68,74.6,75.9,62.0,79.5,70.5,0.6790865384615384,0,0,MID,0,0,1,0,0,0,24.0,64.0,75.9,74.6,231.0
Argentina,Valentín Barco,"LB, LM, CM",75,76,50,75,78,68,61,66.2,71.7,65.2,76.5,68.5,0.5765224358974359,0,0,DEF,0,1,0,0,0,0,25.0,68.0,71.7,66.19999999999999,150.0
Argentina,Ezequiel Fernández,CB,74,70,42,58,60,75,76,55.8,64.0,75.4,59.0,73.0,0.5224358974358975,0,0,DEF,0,1,0,0,0,0,26.0,71.80000000000001,64.0,55.8,74.0
Australia,Mathew Ryan,GK,78,52,11,48,50,11,70,35.0,55.2,34.6,49.0,61.0,0.7323717948717948,0,0,GK,1,0,0,0,0,0,1.0,30.200000000000003,55.2,35.0,2028.0
Australia,Jackson Irvine,"CM, CDM",75,72,60,70,68,68,76,66.0,71.2,71.2,69.0,74.0,0.5765224358974359,0,0,MID,0,0,1,0,0,0,2.0,70.0,71.2,66.0,1875.0
Australia,Cameron Burgess,CB,73,64,36,50,52,74,76,49.2,58.400000000000006,74.8,51.0,70.0,0.469150641025641,0,0,DEF,0,1,0,0,0,0,3.0,69.6,58.400000000000006,49.2,1752.0
Australia,Harry Souttar,CB,73,62,38,52,52,76,82,49.4,61.0,78.4,52.0,72.0,0.469150641025641,0,0,DEF,0,1,0,0,0,0,4.0,72.4,61.0,49.4,1679.0
Australia,Alessandro Circati,CB,71,59,35,53,49,72,77,46.4,59.0,74.0,51.0,68.0,0.3449519230769231,0,0,DEF,0,1,0,0,0,0,5.0,69.19999999999999,59.0,46.4,1562.0
Australia,Cameron Devlin,"CM, CDM",71,68,54,66,66,66,70,61.800000000000004,67.2,67.6,66.0,69.0,0.3449519230769231,0,0,MID,0,0,1,0,0,0,6.0,66.8,67.2,61.8,1491.0
Australia,Mathew Leckie,"RW, LW",70,82,66,64,74,32,72,73.2,69.39999999999999,48.0,69.0,77.0,0.28205128205128205,0,0,ATT,0,0,0,1,0,0,7.0,46.400000000000006,69.39999999999999,73.2,1400.0
Australia,Denis Genreau,"CM,CDM",70,68,52,66,62,64,70,59.8,66.0,66.4,64.0,69.0,0.28205128205128205,0,0,MID,0,0,1,0,0,0,8.0,65.6,66.0,59.8,1330.0
Australia,Aiden O'Neill,"CDM, CM",70,70,52,66,66,70,74,61.6,68.4,71.6,66.0,72.0,0.28205128205128205,0,0,MID,0,0,1,0,0,0,9.0,70.0,68.4,61.599999999999994,1260.0
Australia,Paul Izzo,GK,70,48,10,40,42,10,68,31.0,49.0,33.2,41.0,58.0,0.28205128205128205,0,0,GK,1,0,0,0,0,0,10.0,27.6,49.0,31.0,1190.0
Australia,Chris Ikonomidis,"LW,RW",69,77,62,64,68,32,60,68.3,64.0,43.2,66.0,68.5,0.22956730769230768,0,0,ATT,0,0,0,1,0,0,11.0,44.0,64.0,68.3,1104.0
Australia,Jordan Bos,LB,69,74,46,60,64,68,68,59.8,63.6,68.0,62.0,71.0,0.22956730769230768,0,0,DEF,0,1,0,0,0,0,12.0,66.4,63.6,59.8,1035.0
Australia,Connor Metcalfe,"CM, CDM",69,68,54,66,66,64,70,61.800000000000004,67.2,66.4,66.0,69.0,0.22956730769230768,0,0,MID,0,0,1,0,0,0,13.0,65.6,67.2,61.8,966.0
Australia,Kai Trewin,ST,69,72,70,56,64,28,74,68.8,63.8,46.400000000000006,60.0,73.0,0.22956730769230768,0,0,ATT,0,0,0,1,0,0,14.0,42.800000000000004,63.8,68.8,897.0
Australia,Nathaniel Atkinson,"RB,RM",68,76,48,62,64,65,68,61.2,64.4,66.2,63.0,72.0,0.18028846153846154,0,0,DEF,0,1,0,0,0,0,15.0,65.0,64.4,61.2,816.0
Australia,Mohamed Toure,"ST, CAM",68,86,65,57,67,33,72,71.89999999999999,64.5,48.6,62.0,79.0,0.18028846153846154,0,0,MID,0,0,1,0,0,0,16.0,45.6,64.5,71.89999999999999,748.0
Australia,Nestory Irankunda,"RM, ST, LM, RW",67,88,70,62,70,43,74,75.4,68.0,55.400000000000006,66.0,81.0,0.12740384615384615,0,0,MID,0,0,1,0,0,0,17.0,53.0,68.0,75.4,670.0
Australia,Aziz Behich,LB,67,74,46,60,64,68,68,59.8,63.6,68.0,62.0,71.0,0.12740384615384615,0,0,DEF,0,1,0,0,0,0,18.0,66.4,63.6,59.8,603.0
Australia,Ajdin Hrustic,"CM, CDM",67,50,67,69,70,56,66,62.8,68.4,60.0,69.5,58.0,0.12740384615384615,0,0,MID,0,0,1,0,0,0,19.0,60.60000000000001,68.4,62.8,536.0
Australia,Awer Mabil,"LW, RW",67,84,70,64,78,28,66,76.6,68.8,43.2,71.0,75.0,0.12740384615384615,0,0,ATT,0,0,0,1,0,0,20.0,42.8,68.8,76.6,469.0
Australia,Nishan Velupillay,"RW, LW",65,82,66,60,74,28,64,73.2,65.4,42.400000000000006,67.0,73.0,0.05448717948717949,0,0,ATT,0,0,0,1,0,0,21.0,41.6,65.4,73.2,390.0
Australia,Patrick Beach,CB,65,64,36,48,50,70,72,48.599999999999994,55.8,70.8,49.0,68.0,0.05448717948717949,0,0,DEF,0,1,0,0,0,0,22.0,66.0,55.8,48.6,325.0
Australia,Jacob Italiano,"CB, LB",64,64,36,50,52,72,72,49.2,57.2,72.0,51.0,68.0,0.03205128205128205,0,0,DEF,0,1,0,0,0,0,23.0,67.6,57.2,49.2,256.0
Australia,Tete Yengi,ST,59,69,57,48,55,37,78,60.0,59.1,53.400000000000006,51.5,73.5,0.005608974358974359,0,0,ATT,0,0,0,1,0,0,24.0,47.4,59.1,60.0,177.0
Australia,Lucas Herrington,CB,59,65,32,42,45,57,66,45.8,50.1,60.599999999999994,43.5,65.5,0.005608974358974359,0,0,DEF,0,1,0,0,0,0,25.0,55.8,50.1,45.8,118.0
Australia,Paul Okon-Engstler,"CDM, CM",52,64,38,47,52,47,56,50.0,51.2,50.6,49.5,60.0,0.0008012820512820513,0,0,MID,0,0,1,0,0,0,26.0,48.8,51.2,50.0,52.0
Austria,Konrad Laimer,"RB, CDM, CM, RM",82,82,69,76,75,81,76,74.7,75.7,79.0,75.5,79.0,0.8854166666666666,0,0,DEF,0,1,0,0,0,0,1.0,79.0,75.7,74.7,2132.0
Austria,David Alaba,"CB, LB",82,70,56,76,76,82,74,66.2,75.4,78.8,76.0,72.0,0.8854166666666666,0,0,DEF,0,1,0,0,0,0,2.0,79.2,75.4,66.2,2050.0
Austria,Marcel Sabitzer,"CDM, CM",80,74,80,80,80,76,76,78.2,78.8,76.0,80.0,75.0,0.8221153846153846,0,0,MID,0,0,1,0,0,0,3.0,76.80000000000001,78.8,78.2,1920.0
Austria,Xaver Schlager,"CDM, CM",80,69,70,74,78,75,78,72.1,76.4,76.2,76.0,73.5,0.8221153846153846,0,0,MID,0,0,1,0,0,0,4.0,75.4,76.4,72.1,1840.0
Austria,Kevin Danso,CB,79,73,32,57,62,78,83,53.3,66.3,80.0,59.5,78.0,0.7772435897435898,0,0,DEF,0,1,0,0,0,0,5.0,74.8,66.3,53.3,1738.0
Austria,Stefan Posch,"RB, RM",79,75,55,68,66,80,74,64.3,69.2,77.6,67.0,74.5,0.7772435897435898,0,0,DEF,0,1,0,0,0,0,6.0,76.4,69.2,64.3,1659.0
Austria,Philipp Lienhart,CB,79,67,28,59,64,81,78,50.5,66.19999999999999,79.80000000000001,61.5,72.5,0.7772435897435898,0,0,DEF,0,1,0,0,0,0,7.0,76.0,66.19999999999999,50.5,1580.0
Austria,Romano Schmid,"CAM, LW",78,76,66,70,74,44,66,71.4,70.0,52.8,72.0,71.0,0.7323717948717948,0,0,MID,0,0,1,0,0,0,8.0,53.6,70.0,71.4,1482.0
Austria,Patrick Wimmer,"CAM, RW, LM, ST",77,84,69,72,81,49,73,77.10000000000001,75.0,58.6,76.5,78.5,0.6790865384615384,0,0,MID,0,0,1,0,0,0,9.0,58.4,75.0,77.1,1386.0
Austria,Marco Friedl,CB,77,75,44,64,69,79,77,60.8,69.39999999999999,78.2,66.5,76.0,0.6790865384615384,0,0,DEF,0,1,0,0,0,0,10.0,75.6,69.39999999999999,60.8,1309.0
Austria,Carney Chukwuemeka,"CM,CAM",77,79,68,74,78,52,72,74.3,74.6,60.0,76.0,75.5,0.6790865384615384,0,0,MID,0,0,1,0,0,0,11.0,60.400000000000006,74.6,74.30000000000001,1232.0
Austria,Nicolas Seiwald,"CDM, CM, CB",77,72,62,74,74,74,76,68.6,74.6,74.8,74.0,74.0,0.6790865384615384,0,0,DEF,0,1,0,0,0,0,12.0,74.4,74.6,68.6,1155.0
Austria,Christoph Baumgartner,"CAM, ST, CM",77,74,72,72,79,47,63,74.7,71.4,53.400000000000006,75.5,68.5,0.6790865384615384,0,0,MID,0,0,1,0,0,0,13.0,55.199999999999996,71.4,74.7,1078.0
Austria,Marko Arnautović,ST,76,72,74,60,70,32,75,72.2,67.5,49.2,65.0,73.5,0.624198717948718,0,0,ATT,0,0,0,1,0,0,14.0,46.2,67.5,72.2,988.0
Austria,Phillipp Mwene,"LB, LM",76,78,55,69,75,70,70,67.9,71.1,70.0,72.0,74.0,0.624198717948718,0,0,DEF,0,1,0,0,0,0,15.0,69.8,71.1,67.9,912.0
Austria,David Affengruber,"CB, LB",75,66,36,52,54,72,72,50.400000000000006,58.599999999999994,72.0,53.0,69.0,0.5765224358974359,0,0,DEF,0,1,0,0,0,0,16.0,68.0,58.599999999999994,50.400000000000006,825.0
Austria,Florian Grillitsch,"CM, CB, CDM",75,63,59,74,74,72,66,64.69999999999999,71.6,69.6,74.0,64.5,0.5765224358974359,0,0,DEF,0,1,0,0,0,0,17.0,71.2,71.6,64.7,750.0
Austria,Michael Gregoritsch,ST,75,37,77,68,68,42,76,62.300000000000004,70.4,55.6,68.0,56.5,0.5765224358974359,0,0,ATT,0,0,0,1,0,0,18.0,54.0,70.4,62.3,675.0
Austria,Sasa Kalajdzic,ST,74,50,72,67,68,45,64,64.2,66.4,52.6,67.5,57.0,0.5224358974358975,0,0,ATT,0,0,0,1,0,0,19.0,53.199999999999996,66.4,64.19999999999999,592.0
Austria,Alexander Prass,"LB, LM, CM, LW",74,74,65,74,75,69,74,70.7,74.3,71.0,74.5,74.0,0.5224358974358975,0,0,DEF,0,1,0,0,0,0,20.0,71.0,74.3,70.7,518.0
Austria,Alexander Schlager,GK,73,50,11,42,44,11,72,32.6,51.599999999999994,35.4,43.0,61.0,0.469150641025641,0,0,GK,1,0,0,0,0,0,21.0,29.4,51.599999999999994,32.599999999999994,438.0
Austria,Patrick Pentz,GK,72,50,11,42,44,11,70,32.6,51.0,34.6,43.0,60.0,0.40905448717948717,0,0,GK,1,0,0,0,0,0,22.0,29.0,51.0,32.599999999999994,360.0
Austria,Paul Wanner,"CM,CAM",72,72,62,70,74,44,64,68.6,69.4,52.0,72.0,68.0,0.40905448717948717,0,0,MID,0,0,1,0,0,0,23.0,53.2,69.4,68.6,288.0
Austria,Alessandro Schöpf,"CM, LW",68,70,62,68,70,50,68,66.8,68.6,57.2,69.0,69.0,0.18028846153846154,0,0,MID,0,0,1,0,0,0,24.0,57.2,68.6,66.8,204.0
Austria,Michael Svoboda,CB,68,59,44,52,56,67,80,52.10000000000001,61.6,72.19999999999999,54.0,69.5,0.18028846153846154,0,0,DEF,0,1,0,0,0,0,25.0,66.6,61.6,52.099999999999994,136.0
Austria,Florian Wiegele,GK,67,68,52,62,62,66,68,59.8,63.8,66.80000000000001,62.0,68.0,0.12740384615384615,0,0,GK,1,0,0,0,0,0,26.0,65.60000000000001,63.8,59.8,67.0
Belgium,Thibaut Courtois,GK,89,56,14,52,54,14,78,38.6,60.4,39.6,53.0,67.0,0.9895833333333334,1,0,GK,1,0,0,0,1,1,1.0,34.4,60.4,38.6,2314.0
Belgium,Kevin De Bruyne,"CM, CAM",87,66,83,92,84,65,72,78.2,83.6,67.8,88.0,69.0,0.9743589743589743,1,0,MID,0,0,1,0,0,1,2.0,71.8,83.6,78.2,2175.0
Belgium,Youri Tielemans,"CM, CDM, CAM",85,54,79,85,80,75,72,71.8,79.6,73.8,82.5,63.0,0.9507211538461539,1,0,MID,0,0,1,0,0,1,3.0,76.4,79.6,71.8,2040.0
Belgium,Romelu Lukaku,ST,84,76,87,72,74,30,88,79.8,77.4,53.2,73.0,82.0,0.9314903846153846,0,0,ATT,0,0,0,1,0,0,4.0,50.0,77.4,79.80000000000001,1932.0
Belgium,Leandro Trossard,"LW, ST, LM",83,80,81,80,85,30,60,81.9,75.5,42.0,82.5,70.0,0.9118589743589743,0,0,MID,0,0,1,0,0,0,5.0,46.0,75.5,81.9,1826.0
Belgium,Charles De Ketelaere,"CAM, ST, CM",82,70,79,80,83,56,68,77.5,77.3,60.800000000000004,81.5,69.0,0.8854166666666666,0,0,MID,0,0,1,0,0,0,6.0,63.2,77.3,77.5,1722.0
Belgium,Dodi Lukebakio,"RW, LW",82,84,76,68,78,30,70,79.0,71.6,46.0,73.0,77.0,0.8854166666666666,0,0,ATT,0,0,0,1,0,0,7.0,45.6,71.6,79.0,1640.0
Belgium,Hans Vanaken,"CAM, CM",80,45,79,84,77,60,78,68.2,80.1,67.2,80.5,61.5,0.8221153846153846,0,0,MID,0,0,1,0,0,0,8.0,68.4,80.1,68.2,1520.0
Belgium,Jeremy Doku,"LW, RW, LM",80,91,71,72,87,32,68,81.8,75.3,46.400000000000006,79.5,79.5,0.8221153846153846,0,0,MID,0,0,1,0,0,0,9.0,47.199999999999996,75.3,81.8,1440.0
Belgium,Maxim De Cuyper,"LB, RB, LM",80,76,73,80,79,75,75,75.7,78.2,75.0,79.5,75.5,0.8221153846153846,0,0,DEF,0,1,0,0,0,0,10.0,76.0,78.2,75.7,1360.0
Belgium,Arthur Theate,"CB, LB",80,76,42,58,62,80,78,58.2,65.19999999999999,79.2,60.0,77.0,0.8221153846153846,0,0,DEF,0,1,0,0,0,0,11.0,75.2,65.19999999999999,58.2,1280.0
Belgium,Alexis Saelemaekers,"RW, RM",79,82,68,66,76,46,70,74.6,70.2,55.599999999999994,71.0,76.0,0.7772435897435898,0,0,MID,0,0,1,0,0,0,12.0,54.8,70.2,74.6,1185.0
Belgium,Amadou Onana,"CDM, CM",79,76,58,70,68,76,82,66.4,73.0,78.4,69.0,79.0,0.7772435897435898,0,0,MID,0,0,1,0,0,0,13.0,76.0,73.0,66.4,1106.0
Belgium,Senne Lammens,GK,78,52,11,44,46,11,72,33.8,53.0,35.4,45.0,62.0,0.7323717948717948,0,0,GK,1,0,0,0,0,0,14.0,29.8,53.0,33.8,1014.0
Belgium,Zeno Debast,"CB, RB",78,72,40,58,62,78,76,56.19999999999999,64.6,77.2,60.0,74.0,0.7323717948717948,0,0,DEF,0,1,0,0,0,0,15.0,73.6,64.6,56.19999999999999,936.0
Belgium,Axel Witsel,"CDM, CM",77,60,56,70,68,74,78,60.8,71.8,75.6,69.0,69.0,0.6790865384615384,0,0,MID,0,0,1,0,0,0,16.0,74.0,71.8,60.800000000000004,847.0
Belgium,Diego Moreira,"LW, RW",77,82,68,64,78,30,64,75.2,68.2,43.6,71.0,73.0,0.6790865384615384,0,0,ATT,0,0,0,1,0,0,17.0,43.6,68.2,75.19999999999999,770.0
Belgium,Nicolas Raskin,"CDM, CM",77,70,54,66,66,70,74,62.400000000000006,68.4,71.6,66.0,72.0,0.6790865384615384,0,0,MID,0,0,1,0,0,0,18.0,70.0,68.4,62.400000000000006,693.0
Belgium,Thomas Meunier,RB,76,74,58,68,68,68,76,65.8,70.4,71.2,68.0,75.0,0.624198717948718,0,0,DEF,0,1,0,0,0,0,19.0,69.6,70.4,65.80000000000001,608.0
Belgium,Timothy Castagne,"RB, RM",76,68,57,70,72,74,71,64.8,70.89999999999999,72.8,71.0,69.5,0.624198717948718,0,0,DEF,0,1,0,0,0,0,20.0,72.6,70.89999999999999,64.8,532.0
Belgium,Brandon Mechele,CB,76,49,40,55,56,80,78,47.5,62.199999999999996,79.2,55.5,63.5,0.624198717948718,0,0,DEF,0,1,0,0,0,0,21.0,74.6,62.199999999999996,47.5,456.0
Belgium,Koni De Winter,CB,74,67,40,58,66,75,72,55.89999999999999,64.6,73.8,62.0,69.5,0.5224358974358975,0,0,DEF,0,1,0,0,0,0,22.0,71.0,64.6,55.89999999999999,370.0
