Nation,Player,player_positions,Final_Overall,pace,shooting,passing,dribbling,defending,physic
Belgium,Alexis Saelemaekers,"RW, RM",79,82,68,66,76,46,70
Belgium,Amadou Onana,"CDM, CM",79,76,58,70,68,76,82
Belgium,Senne Lammens,GK,78,52,11,44,46,11,72
Belgium,Zeno Debast,"CB, RB",78,72,40,58,62,78,76
Belgium,Axel Witsel,"CDM, CM",77,60,56,70,68,74,78
Belgium,Diego Moreira,"LW, RW",77,82,68,64,78,30,64
Belgium,Nicolas Raskin,"CDM, CM",77,70,54,66,66,70,74
Belgium,Thomas Meunier,RB,76,74,58,68,68,68,76
Belgium,Timothy Castagne,"RB, RM",76,68,57,70,72,74,71
Belgium,Brandon Mechele,CB,76,49,40,55,56,80,78
Belgium,Koni De Winter,CB,74,67,40,58,66,75,72
Belgium,Matías Fernández-Pardo,"LW,RW",74,80,66,70,74,38,64
Belgium,Joaquin Seys,"RB, LB, RM",73,81,48,68,70,67,67
Belgium,Mike Penders,GK,73,50,11,42,44,11,70
Belgium,Nathan Ngoy,"CB, RB",69,78,44,49,67,67,75
Bosnia and Herzegovina,Edin Džeko,ST,81,55,82,74,77,40,72
Bosnia and Herzegovina,Ermedin Demirović,ST,80,72,81,73,78,42,78
Bosnia and Herzegovina,Sead Kolašinac,CB,79,61,63,68,69,79,82
Bosnia and Herzegovina,Nikola Vasilj,GK,77,50,11,44,46,11,72
Bosnia and Herzegovina,Amar Dedić,"RB, LB, RM",74,83,60,70,76,66,76
Bosnia and Herzegovina,Petar Stojanović,"RB,RM",73,78,52,66,68,70,72
Bosnia and Herzegovina,Haris Tabakovic,ST,73,60,73,52,65,29,80
Bosnia and Herzegovina,Amir Hadžiahmetović,"CDM, CM",73,65,60,73,72,70,73
Bosnia and Herzegovina,Benjamin Tahirović,"CM,CDM",73,72,54,70,66,66,72
Bosnia and Herzegovina,Ivan Šunjić,"CM,CDM",72,68,50,68,64,67,72
Bosnia and Herzegovina,Amar Memić,"RM, LM, RW",72,81,69,68,73,48,61
Bosnia and Herzegovina,Armin Gigović,"CM, CAM",72,65,61,70,74,60,74
Bosnia and Herzegovina,Denis Hadžikadunić,CB,72,68,40,58,55,72,74
Bosnia and Herzegovina,Dženis Burnić,"LW,CAM",71,76,62,66,70,36,60
Bosnia and Herzegovina,Tarik Muharemović,CB,70,59,23,47,56,73,67
Bosnia and Herzegovina,Amer Šiljak,GK,70,46,12,42,44,12,64
Bosnia and Herzegovina,Nikola Katić,CB,69,51,35,45,53,68,79
Bosnia and Herzegovina,Samed Baždar,"ST, CAM, CM",69,70,66,70,74,40,63
Bosnia and Herzegovina,Kerim Alajbegović,"ST,LW",68,72,63,58,64,32,62
Bosnia and Herzegovina,Adin Junuzović,LB,68,70,44,62,60,66,68
Bosnia and Herzegovina,Martin Zlomislić,RB,68,74,46,62,60,66,68
Bosnia and Herzegovina,Ermin Mahmić,CB,67,65,38,54,52,67,70
Bosnia and Herzegovina,Esmir Bajraktarević,"RW, RM",67,77,54,65,76,40,59
Bosnia and Herzegovina,Nihad Mujakić,CB,67,70,28,42,47,66,77
Bosnia and Herzegovina,Nidal Çelik,CB,64,60,35,49,50,62,71
Bosnia and Herzegovina,Jovo Lukić,ST,64,61,64,47,59,27,69
Brazil,Raphael Dias Belloli,"LM, LW",89,91,84,85,87,53,75
Brazil,Vinicius José Paixão de Oliveira Júnior,"LW, ST, LM",89,95,84,81,91,29,69
Brazil,Alisson Ramsés Becker,GK,89,58,14,52,54,14,76
Brazil,Gabriel Fernando de Jesus Martinelli,"LW, ST",88,87,78,74,84,36,70
Brazil,Gabriel dos Santos Magalhães,CB,88,64,44,64,65,88,84
Brazil,Bruno Guimarães Rodriguez Moura,"CDM, CM",86,68,75,83,84,77,82
Brazil,Ederson Santana de Moraes,GK,85,58,14,62,56,14,72
Brazil,Gleison Bremer Silva Nascimento,CB,85,82,50,58,66,86,80
Brazil,Matheus Santos Carneiro da Cunha,"CAM, LW, ST",83,77,85,79,84,44,75
Brazil,Neymar da Silva Santos Júnior,"LW,CAM",83,82,81,85,87,36,64
Brazil,Neymar,"LW, CAM",83,84,84,84,94,30,62
Brazil,Roger Ibañez da Silva,CB,82,87,32,47,61,83,85
Brazil,Fabinho,"CDM,CM",82,72,62,78,72,82,80
Brazil,Danilo Luiz da Silva,"RB, CB",81,74,56,76,75,82,80
Brazil,Danilo,"CB, CDM",81,74,56,76,75,82,80
Brazil,Weverton Pereira da Silva,GK,80,52,12,48,50,12,72
Brazil,Carlos Henrique Casimiro,"CDM, CM",80,36,74,76,69,80,76
Brazil,Lucas Tolentino Coelho de Lima,"CM, LM, CAM",80,68,78,78,84,69,75
Brazil,Rayan,"LW, ST",78,84,76,68,80,30,68
Brazil,Wesley Andrade de Oliveira,"RW,RM",78,87,72,70,78,40,72
Brazil,Luiz Henrique Tomaz de Lima,"LW, RW",78,85,75,74,79,42,68
Brazil,Alex Sandro,LB,77,74,58,70,74,68,72
Brazil,Douglas Santos,LB,77,78,50,62,66,70,68
Brazil,Leonardo Pereira da Silva,"CDM, CM",77,67,72,57,63,69,78
Brazil,Endrick Felipe Moreira de Sousa,"ST, RW",77,87,77,62,78,30,68
Brazil,Igor Thiago,ST,75,76,74,58,72,28,76
Canada,Alphonso Davies,"LB, LW",84,97,70,76,86,64,72
Canada,Jonathan David,ST,82,84,82,72,80,35,74
Canada,Alistair Johnston,RB,78,76,52,62,66,72,74
Canada,Stephen Eustáquio,"CM, CDM",77,76,62,76,76,72,74
Canada,Cyle Larin,ST,77,76,78,62,70,28,76
Canada,Moise Bombito,CB,76,72,44,60,58,76,78
Canada,Promise David,"ST, LW",75,80,70,60,74,28,70
Canada,Tajon Buchanan,"RW, LW",74,86,68,64,80,28,66
Canada,Richie Laryea,"RB,RM",74,82,55,68,72,68,70
Canada,Derek Cornelius,CB,74,66,38,52,54,76,76
Canada,Dayne St. Clair,GK,73,52,11,44,46,11,74
Canada,Ismaël Koné,"CM, CDM",72,76,62,72,74,70,74
Canada,Liam Millar,"LW, RW",72,82,66,62,76,30,64
Canada,Marcelo Flores,"CAM,LW",72,74,62,68,66,36,60
Canada,Jonathan Osorio,"CM, CAM, CDM",71,50,67,70,72,61,65
Canada,Niko Sigur,"CB, LB",70,68,38,52,54,74,72
Canada,Liam Fraser,"CM,CDM",70,66,50,66,62,64,68
Canada,Tani Oluwaseyi,"ST,LW",70,82,66,60,70,30,66
Canada,Maxime Crépeau,GK,69,52,11,44,46,11,72
Canada,Joel Waterman,CB,68,66,38,50,52,74,76
Canada,Ali Ahmed,"CM, RM, LM, CAM",68,78,58,65,72,61,65
Canada,Mathieu Choinière,"CM, LM, LW",67,60,58,66,66,62,59
Canada,Owen Goodman,GK,67,44,11,40,42,12,62
Canada,Jacob Shaffelburg,LW,67,82,64,60,74,28,64
Canada,Nathan Saliba,GK,65,42,10,38,40,11,60
Canada,Luc de Fougerolles,LB,60,70,42,54,58,66,68
Cape Verde,Logan Costa,CB,77,72,38,54,56,76,76
Cape Verde,Nuno da Costa,"ST, LW",74,72,68,58,66,28,70
Cape Verde,Steven Moreira,"CB, RB",72,73,33,67,71,72,74
Cape Verde,Wagner Pina,"CM, CDM",72,68,52,62,64,64,68
Cape Verde,Ryan Mendes,"LW, RW",71,80,66,62,74,28,64
Cape Verde,Garry Rodrigues,"LW, RW",71,80,66,62,74,28,64
Cape Verde,Telmo Arcanjo,"ST, LW",71,78,70,58,72,28,68
Cape Verde,Jovane Cabral,"LW, RW",70,82,70,66,76,30,66
Cape Verde,Dailon Livramento,"LW, ST",70,80,66,60,74,28,66
Cape Verde,Kevin Pina,"CAM, CM",70,74,64,68,72,40,64
Cape Verde,Kenny Rocha Santos,"CM, CDM",70,68,52,62,64,64,68
Cape Verde,Deroy Duarte,"LW, RW",69,78,62,60,72,28,64
Cape Verde,Jamiro Monteiro,"CM, CAM",69,72,62,68,72,48,66
Cape Verde,Vozinha,GK,68,48,10,40,42,10,68
Cape Verde,Roberto Pico Lopes,GK,68,54,42,51,57,68,75
Cape Verde,Gilson Benchimol,"CM,CDM",68,66,50,64,60,64,68
Cape Verde,Márcio Rosa,"CM,CDM",68,66,48,62,58,62,66
Cape Verde,Laros Duarte,"CM,CAM",67,70,56,64,60,48,62
Cape Verde,Kelvin Pires,"ST,LW",67,74,62,56,62,30,62
Cape Verde,Stopira,"CB, LB",67,64,36,52,54,72,72
Cape Verde,Diney Borges,"CB,LB",67,66,38,55,52,68,70
Cape Verde,Willy Semedo,"LB,CB",66,70,42,56,58,65,67
Cape Verde,Yannick Semedo,"RB,CB",66,70,44,58,60,65,67
Cape Verde,João Paulo Fernandes,CB,66,68,60,68,65,65,64
Cape Verde,Hélio Varela,"CDM,CM",66,64,46,62,58,64,68
Cape Verde,Sidny Cabral,"LW, RW",66,78,64,60,72,28,64
Colombia,Luis Díaz,"LW, RW",85,88,81,76,87,45,75
Colombia,Davinson Sánchez,CB,82,72,40,56,58,82,80
Colombia,James Rodríguez,"CAM,CM",82,70,78,84,80,42,64
Colombia,Daniel Muñoz,RB,81,75,69,72,76,79,81
Colombia,Richard Ríos,"CM, CDM",79,76,60,70,72,68,72
Colombia,Juan Camilo Hernández,"ST, CAM",78,78,78,70,78,32,68
Colombia,Johan Mojica,LB,78,78,48,62,66,68,68
Colombia,Jhon Arias,"RW, LW",78,85,75,74,79,42,68
Colombia,Luis Suárez,"ST, LW",77,83,77,66,74,35,77
Colombia,Jefferson Lerma,"CDM, CM",77,72,58,68,66,74,78
Colombia,Yerry Mina,CB,77,66,42,54,56,80,82
Colombia,Jorge Carrascal,"CM,CAM",77,76,68,74,76,48,66
Colombia,Kevin Castaño,"CDM, CM",77,70,54,64,64,70,72
Colombia,Juan Fernando Quintero,"CAM, LW",77,70,70,74,78,36,60
Colombia,Jhon Lucumí,CB,76,74,40,56,58,80,78
Colombia,Jaminton Campaz,"LW, RW",76,82,66,62,76,28,64
Colombia,David Ospina,GK,76,48,11,44,46,11,68
Colombia,Deiver Machado,LB,76,76,44,58,62,66,66
Colombia,Álvaro Montero,GK,75,50,11,42,44,11,70
Colombia,Santiago Arias,RB,75,76,50,68,70,72,72
Colombia,Camilo Vargas,GK,74,50,13,46,48,12,68
Colombia,Willer Ditta,CB,74,70,42,60,56,74,76
Colombia,Juan Camilo Portilla,"LW, RW",73,80,62,60,72,28,64
Colombia,Carlos Gómez,CB,72,68,40,56,54,72,74
Colombia,Jhon Córdoba,ST,69,76,72,58,66,28,80
Colombia,Gustavo Puerta,"CM, CAM",68,72,60,68,72,50,68
Croatia,Joško Gvardiol,"LB, CB, LM",84,78,71,75,78,84,82
Croatia,Mateo Kovačić,"CM, CDM, CAM",83,67,74,81,83,73,72
Croatia,Luka Modrić,"CM, CAM, CDM",83,68,74,86,86,70,62
Croatia,Ante Budimir,ST,82,59,84,63,76,35,80
Croatia,Ivan Perišić,"RW, LW, RM",81,75,80,81,79,69,75
Croatia,Andrej Kramarić,"CAM, CM",81,67,82,78,84,33,73
Croatia,Mario Pašalić,"CM, CAM",80,69,78,77,81,67,76
Croatia,Dominik Livaković,GK,80,52,12,44,46,12,72
Croatia,Nikola Vlašić,"CAM, LW, RW, CM",79,74,76,76,81,57,70
Croatia,Josip Staniśić,"CB, RB, LB, RM",78,73,44,65,69,79,74
Croatia,Josip Šutalo,CB,78,77,32,62,72,78,80
Croatia,Luka Sučić,"CM, CAM",78,76,76,78,77,68,72
Croatia,Martin Baturina,"CAM, CM",78,77,70,78,83,59,66
Croatia,Dominik Kotarski,GK,77,50,11,42,44,11,70
Croatia,Kristijan Jakić,"CDM, CM, CB",76,72,62,65,68,76,80
Croatia,Petar Musa,ST,76,82,75,61,71,41,81
Croatia,Toni Fruk,"CAM, ST, CM",75,72,73,77,78,53,61
Croatia,Nikola Moro,"CDM, CM",75,66,72,74,73,70,72
Croatia,Duje Ćaleta-Car,CB,74,58,39,55,59,74,76
Croatia,Petar Sučić,"CM, CDM",74,69,68,72,77,61,74
Croatia,Marin Pongračić,CB,74,61,26,52,62,74,76
Croatia,Luka Vušković,CB,72,58,59,57,58,70,77
Croatia,Martin Erlić,CB,72,56,35,46,53,73,72
Croatia,Ivor Pandur,GK,72,50,11,42,44,11,70
Croatia,Igor Matanović,ST,71,68,69,55,67,34,74
Croatia,Marco Pašalić,"RM, RW, CAM",71,76,72,67,75,35,56
Curaçao,Riechedly Bazoer,"CDM, CM",73,72,58,66,68,68,74
Curaçao,Eloy Room,GK,72,50,11,44,46,11,70
Curaçao,Jurgen Locadia,"ST, LW",72,80,74,62,74,28,72
Curaçao,Armando Obispo,CB,71,68,38,54,56,74,76
Curaçao,Leandro Bacuna,"CM, RB",71,72,60,66,68,60,72
Curaçao,Sontje Hansen,"ST, LW",71,78,72,62,72,28,70
Curaçao,Joshua Brenet,RB,71,74,48,60,64,66,68
Curaçao,Tahith Chong,"RW, LW",71,84,68,64,78,30,68
Curaçao,Kenji Gorré,"LW, RW",70,82,64,62,76,28,62
Curaçao,Gervane Kastaneer,"LW, RW",69,82,66,60,74,28,64
Curaçao,Juninho Bacuna,"CM, CAM",69,72,66,70,72,52,70
Curaçao,Shurandy Sambo,"CB, LB",68,66,36,50,52,70,72
Curaçao,Jurien Gaari,CB,68,62,34,48,50,68,70
Curaçao,Brandley Kuwas,"LW, RW",67,82,66,60,74,28,66
Curaçao,Tyrese Noslin,"RM, RB, LM, RW",66,81,54,59,65,59,67
Curaçao,Jeremy Antonisse,"CM,CDM",66,66,48,62,58,62,66
Curaçao,Sherel Floranus,"LB, LW",66,78,50,60,66,62,64
Curaçao,Kevin Felida,"LW,LM",65,74,58,62,62,32,58
Curaçao,Roshon van Eijma,"CB,LB",65,68,40,54,52,65,67
Curaçao,Deveron Fonville,"ST,LW",65,74,60,54,60,28,62
Curaçao,Rangelo Janga,"ST,LW",65,74,60,54,58,28,60
Curaçao,Ar'jany Martha,"CB, RB",64,64,36,50,52,70,72
Curaçao,Godfried Roemeratoe,"RB,CB",64,70,42,56,54,64,66
Curaçao,Regillio Simons,"LB,LW",64,70,42,56,54,62,64
Curaçao,Livano Comenencia,"RB, CB, CDM, RM",62,74,43,55,61,57,61
Curaçao,Tyrick Bodak,GK,60,80,62,58,72,28,64
Czech Republic,Patrik Schick,ST,85,72,83,71,81,38,77
Czech Republic,Ladislav Krejčí,"CB, CDM",78,72,68,68,69,76,84
Czech Republic,Lukáš Provod,"CAM, CM, LM",78,76,75,78,78,64,82
Czech Republic,Tomáš Souček,"CDM, CM",78,45,72,71,68,78,82
Czech Republic,Adam Hložek,"ST, RM, CAM, RW",77,78,78,72,77,31,79
Czech Republic,Pavel Šulc,"CAM, LM, RM, CM",77,71,73,74,77,39,64
Czech Republic,Jindřich Staněk,GK,76,52,10,43,46,11,73
Czech Republic,Michal Sadílek,"CDM, CM",76,53,58,75,71,72,79
Czech Republic,Tomáš Holeš,"CB, CDM",76,74,58,69,69,75,80
Czech Republic,Matej Kovář,GK,75,51,12,45,48,12,68
Czech Republic,Tomáš Chorý,ST,75,57,75,60,64,32,88
Czech Republic,David Douděra,"RM, RB, RW",74,89,66,65,72,65,67
Czech Republic,Mojmír Chytil,ST,74,73,72,55,68,29,81
Czech Republic,David Zima,CB,74,76,38,54,62,75,75
Czech Republic,Lukáš Červ,"CDM, CM",74,69,65,67,69,71,78
Czech Republic,Vladimír Coufal,"RB, RM",73,58,56,70,70,74,71
Czech Republic,Lukáš Horníček,GK,73,48,10,40,42,10,68
Czech Republic,David Jurásek,"LB, LM",73,83,61,68,72,67,74
Czech Republic,Jan Kuchta,"ST, RW, LW",73,77,71,64,71,34,80
Czech Republic,Vladimír Darida,"CM,CAM",72,72,62,70,68,50,62
Czech Republic,Jaroslav Zelený,"CB, LB, LM",72,74,62,69,70,71,75
Czech Republic,Robin Hranáč,CB,71,75,38,51,52,70,76
Czech Republic,Štěpán Chaloupek,CB,70,69,34,52,57,68,76
Czech Republic,Denis Višinský,"LW, CAM, RW, LM",68,76,61,65,69,47,59
Czech Republic,Alexandr Šojka,"CM,CDM",68,64,46,62,58,64,68
Czech Republic,Hugo Sochůrek,GK,65,44,10,38,40,11,60
Democratic Republic of the Congo,Yoane Wissa,ST,82,85,82,70,80,31,71
Democratic Republic of the Congo,Simon Banza,"ST, LW",81,80,74,60,70,28,72
Democratic Republic of the Congo,Aaron Wan-Bissaka,"RB, RM",80,80,51,69,77,78,73
Democratic Republic of the Congo,Cédric Bakambu,ST,77,78,78,68,72,40,68
Democratic Republic of the Congo,Chancel Mbemba,CB,75,70,40,54,56,78,80
Democratic Republic of the Congo,Ngal'ayel Mukau,"CDM, CM",74,69,57,65,71,70,75
Democratic Republic of the Congo,Gael Kakuta,"CM,LW",74,78,68,72,76,44,64
Democratic Republic of the Congo,Noah Sadiki,"CB, CDM",74,70,38,56,58,74,74
Democratic Republic of the Congo,Joris Kayembe,"RW, LW",74,80,64,62,72,28,66
Democratic Republic of the Congo,Arthur Masuaku,"LB,LM",73,76,52,68,70,66,68
Democratic Republic of the Congo,Axel Tuanzebe,"RB, CB",73,76,36,64,68,73,75
Democratic Republic of the Congo,Fiston Mayele,ST,72,74,68,58,62,30,66
Democratic Republic of the Congo,Theo Bongonda,"LW,RW",72,80,64,66,72,30,60
Democratic Republic of the Congo,Timothy Fayulu,GK,72,48,12,44,46,12,66
Democratic Republic of the Congo,Samuel Moutoussamy,"CM,CDM",71,68,52,66,62,64,70
Democratic Republic of the Congo,Dylan Batubinsika,CB,71,72,38,54,56,76,76
Democratic Republic of the Congo,Steve Kapuadi,CB,71,65,33,45,50,70,83
Democratic Republic of the Congo,Meschak Elia,"LW,ST",71,82,66,64,70,32,60
Democratic Republic of the Congo,Lionel Mpasi,"LW, RW",71,72,68,67,70,35,69
Democratic Republic of the Congo,Edo Kayembe,"CM, LW",71,76,60,66,68,50,66
Democratic Republic of the Congo,Gedeon Kalulu,"RW,LW",71,80,64,64,70,30,60
Democratic Republic of the Congo,Charles Pickel,"CDM, CM",71,68,52,64,64,68,72
Democratic Republic of the Congo,Nathanael Mbuku,"RM, ST, RW",70,73,63,68,74,35,53
Democratic Republic of the Congo,Matthieu Epolo,GK,70,46,11,42,44,12,64
Democratic Republic of the Congo,Aaron Tshibola,"CDM,CM",70,68,50,65,62,66,72
Democratic Republic of the Congo,Brian Cipenga,LB,66,70,42,56,58,66,66
Ecuador,Moisés Caicedo,"CDM, CM",87,82,66,78,78,80,80
Ecuador,Willian Pacho,CB,86,74,40,56,58,80,78
Ecuador,Piero Hincapié,"CB, LB",83,80,44,60,66,80,78
Ecuador,Pervis Estupiñán,LB,79,86,58,70,76,72,72
Ecuador,Felix Torres,CB,77,72,44,62,58,77,78
Ecuador,Joel Ordóñez,CB,75,72,38,54,56,76,76
Ecuador,Ángelo Preciado,RB,75,78,52,62,66,70,72
Ecuador,Hernán Galíndez,GK,74,48,11,42,44,11,70
Ecuador,Gonzalo Plata,"RW,LW",74,84,68,68,74,34,62
Ecuador,Kendry Páez,"CAM, CM",73,76,68,74,80,40,62
Ecuador,Alexander Domínguez,GK,73,48,12,44,46,13,67
Ecuador,Jeremy Sarmiento,"LW,CAM",72,78,62,68,68,34,58
Ecuador,Alan Franco,"CM,CDM",72,68,50,66,62,66,70
Ecuador,Jackson Porozo,CB,72,70,42,58,56,72,74
Ecuador,Kevin Rodríguez,"RW, LW",72,83,67,61,74,33,69
Ecuador,John Yeboah,"RW, LW",70,82,68,62,76,28,66
Ecuador,Alan Minda,"LW, ST",70,80,68,60,72,28,66
Ecuador,Jeremy Arevalo,"CM,CDM",70,68,52,66,62,64,70
Ecuador,Yaimar Medina,RB,70,76,48,60,62,68,68
